v,w,l
0, 1, 1
0, 10, 1
0, 11, 1.41
1, 0, 1
1, 2, 1
1, 10, 1.41
1, 11, 1
1, 12, 1.41
10, 0, 1
10, 1, 1.41
10, 11, 1
10, 20, 1
10, 21, 1.41
11, 0, 1.41
11, 1, 1
11, 2, 1.41
11, 10, 1
11, 12, 1
11, 20, 1.41
11, 21, 1
11, 22, 1.41
2, 1, 1
2, 3, 1
2, 11, 1.41
2, 12, 1
2, 13, 1.41
12, 1, 1.41
12, 2, 1
12, 3, 1.41
12, 11, 1
12, 13, 1
12, 21, 1.41
12, 22, 1
12, 23, 1.41
3, 2, 1
3, 4, 1
3, 12, 1.41
3, 13, 1
3, 14, 1.41
13, 2, 1.41
13, 3, 1
13, 4, 1.41
13, 12, 1
13, 14, 1
13, 22, 1.41
13, 23, 1
13, 24, 1.41
4, 3, 1
4, 13, 1.41
4, 14, 1
14, 3, 1.41
14, 4, 1
14, 13, 1
14, 23, 1.41
14, 24, 1
6, 7, 1
6, 16, 1
6, 17, 1.41
16, 6, 1
16, 7, 1.41
16, 17, 1
16, 26, 1
16, 27, 1.41
7, 6, 1
7, 8, 1
7, 16, 1.41
7, 17, 1
7, 18, 1.41
17, 6, 1.41
17, 7, 1
17, 8, 1.41
17, 16, 1
17, 18, 1
17, 26, 1.41
17, 27, 1
17, 28, 1.41
8, 7, 1
8, 9, 1
8, 17, 1.41
8, 18, 1
8, 19, 1.41
18, 7, 1.41
18, 8, 1
18, 9, 1.41
18, 17, 1
18, 19, 1
18, 27, 1.41
18, 28, 1
18, 29, 1.41
9, 8, 1
9, 18, 1.41
9, 19, 1
19, 8, 1.41
19, 9, 1
19, 18, 1
19, 28, 1.41
19, 29, 1
20, 10, 1
20, 11, 1.41
20, 21, 1
20, 30, 1
20, 31, 1.41
21, 10, 1.41
21, 11, 1
21, 12, 1.41
21, 20, 1
21, 22, 1
21, 30, 1.41
21, 31, 1
21, 32, 1.41
22, 11, 1.41
22, 12, 1
22, 13, 1.41
22, 21, 1
22, 23, 1
22, 31, 1.41
22, 32, 1
22, 33, 1.41
23, 12, 1.41
23, 13, 1
23, 14, 1.41
23, 22, 1
23, 24, 1
23, 32, 1.41
23, 33, 1
23, 34, 1.41
24, 13, 1.41
24, 14, 1
24, 23, 1
24, 33, 1.41
24, 34, 1
26, 16, 1
26, 17, 1.41
26, 27, 1
26, 37, 1.41
27, 16, 1.41
27, 17, 1
27, 18, 1.41
27, 26, 1
27, 28, 1
27, 37, 1
27, 38, 1.41
28, 17, 1.41
28, 18, 1
